parti;groupe;
Oeuvre française;Indépendant/micro-partis;
Comité d'action sociale des commerçants artisans petites entreprises et classes moyennes;Indépendant/micro-partis;
Objectif socialiste;Indépendant/micro-partis;
Centre droite-socialiste;Indépendant/micro-partis;
Choisir;Indépendant/micro-partis;
indépendants de gauche;Indépendant/micro-partis;
radicale;Indépendant/micro-partis;
Association de défense des victimes des procédures civiles pénales et administratives;Indépendant/micro-partis;
Association Albertine-Sarrazin;Indépendant/micro-partis;
Projet Alter Breton;Indépendant/micro-partis;
indépendante;Indépendant/micro-partis;
Centre social français;Indépendant/micro-partis;
Union des gaullistes de gauche;Indépendant/micro-partis;
Europe environnement;Indépendant/micro-partis;
communiste démocratique;Indépendant/micro-partis;
Mouvement socialiste populaire;Indépendant/micro-partis;
Fédération des socialistes démocrates;Indépendant/micro-partis;
Tahoeraa huiraatira;Indépendant/micro-partis;
Convention des institutions républicaines;Indépendant/micro-partis;
Mouvement de la gauche socialiste et démocratique;Indépendant/micro-partis;
écologistes indépendants des partis;Indépendant/micro-partis;
Mouvement démocrate;Indépendant/micro-partis;
Mouvement socialiste occitan Volem viure au païs;Indépendant/micro-partis;
centriste de progrès et de justice sociale;Indépendant/micro-partis;
Mouvement de la gauche libérale;Indépendant/micro-partis;
Convergence autogestionnaire et écologique;Indépendant/micro-partis;
Organisation communiste de France démocratique;Indépendant/micro-partis;
Organisations chrétiennes;Indépendant/micro-partis;
Cercle écologique des Hauts-de-Gironde;Indépendant/micro-partis;
Parti démocrate chrétien;Indépendant/micro-partis;
Mouvement d'écologie politique;Indépendant/micro-partis;
Nord-Ecologie;Indépendant/micro-partis;
Section régionale des Femmes pour la paix;Indépendant/micro-partis;
Comité de défense des droits du piéton;Indépendant/micro-partis;
Comité anti poids lourds Nord;Indépendant/micro-partis;
Mouvement écologique du Nord;Indépendant/micro-partis;
Parti libéral pour la démocratie française;Indépendant/micro-partis;
Jeunes giscardiens;Indépendant/micro-partis;
Mouvement des jeunes giscardiens;Indépendant/micro-partis;
